# x_m,y_m,w_tr_right,w_tr_left_m
-22.466612,-679.317645,5.069367,6.113598
-21.670853,-679.937236,5.075298,6.108226
-20.874863,-680.556531,5.081285,6.102433
-20.078636,-681.175523,5.087003,6.096191
-19.282167,-681.794203,5.092925,6.089476
-18.485450,-682.412564,5.099310,6.082291
-17.688478,-683.030598,5.106130,6.074636
-16.891245,-683.648295,5.113426,6.066507
-16.093745,-684.265649,5.121225,6.057892
-15.295972,-684.882650,5.129490,6.048794
-14.497919,-685.499291,5.138237,6.039231
-13.699581,-686.115564,5.147518,6.029244
-12.900952,-686.731460,5.157329,6.018865
-12.102024,-687.346970,5.167643,6.008106
-11.302793,-687.962087,5.178481,5.996973
-10.503252,-688.576802,5.189889,5.985499
-9.703394,-689.191107,5.201867,5.973725
-8.903214,-689.804994,5.214386,5.961680
-8.102706,-690.418454,5.227456,5.949367
-7.301862,-691.031478,5.241130,5.936780
-6.500678,-691.644059,5.255421,5.923925
-5.699147,-692.256187,5.270303,5.910820
-4.897263,-692.867855,5.285778,5.897468
-4.095021,-693.479054,5.301898,5.883833
-3.292413,-694.089776,5.318678,5.869869
-2.489434,-694.700012,5.336092,5.855548
-1.686078,-695.309754,5.354146,5.840863
-0.882339,-695.918993,5.372902,5.825811
-0.078211,-696.527721,5.392391,5.810368
0.726311,-697.135930,5.412581,5.794485
1.531234,-697.743611,5.433487,5.778129
2.336564,-698.350756,5.455213,5.761304
3.142306,-698.957357,5.477822,5.744024
3.948466,-699.563405,5.501267,5.726285
4.755050,-700.168891,5.525474,5.708071
5.562063,-700.773808,5.550403,5.689361
6.369512,-701.378148,5.576008,5.670155
7.177401,-701.981901,5.602222,5.650478
7.985736,-702.585060,5.628977,5.630364
8.794523,-703.187617,5.656206,5.609844
9.603767,-703.789563,5.683807,5.588948
10.413473,-704.390890,5.711667,5.567696
11.223648,-704.991590,5.739678,5.546083
12.034295,-705.591655,5.767695,5.524046
12.845421,-706.191078,5.795542,5.501496
13.657030,-706.789849,5.823109,5.478408
14.469128,-707.387961,5.850391,5.454822
15.281720,-707.985406,5.877412,5.430756
16.094810,-708.582177,5.904149,5.406183
16.908403,-709.178265,5.930528,5.381101
17.722505,-709.773663,5.956558,5.355563
18.537120,-710.368362,5.982395,5.329656
19.352253,-710.962356,6.008177,5.303476
20.167909,-711.555636,6.033952,5.277120
20.984091,-712.148196,6.059901,5.250723
21.800805,-712.740027,6.086267,5.224494
22.618055,-713.331122,6.112926,5.198667
23.435845,-713.921473,6.139298,5.173421
24.254180,-714.511074,6.164718,5.148905
25.073063,-715.099917,6.188784,5.125328
25.892500,-715.687995,6.211422,5.102946
26.712493,-716.275300,6.232655,5.081973
27.533047,-716.861826,6.252352,5.062560
28.354167,-717.447566,6.270282,5.044862
29.175854,-718.032512,6.286321,5.029032
29.998115,-718.616658,6.300430,5.015161
30.820951,-719.199997,6.312516,5.003239
31.644366,-719.782522,6.322493,4.993160
32.468364,-720.364227,6.330462,4.984774
33.292949,-720.945105,6.336694,4.977945
34.118122,-721.525151,6.341421,4.972528
34.943888,-722.104357,6.344787,4.968314
35.770250,-722.682717,6.346999,4.965046
36.597210,-723.260226,6.348365,4.962515
37.424772,-723.836877,6.349101,4.960572
38.252938,-724.412665,6.349306,4.959023
39.081710,-724.987583,6.349152,4.957601
39.911092,-725.561626,6.348948,4.956057
40.741085,-726.134787,6.348965,4.954218
41.571693,-726.707063,6.349349,4.951949
42.402917,-727.278447,6.350266,4.949129
43.234760,-727.848933,6.351993,4.945666
44.067224,-728.418517,6.354780,4.941473
44.900310,-728.987194,6.358737,4.936482
45.734022,-729.554957,6.363898,4.930697
46.568360,-730.121803,6.370284,4.924175
47.403326,-730.687727,6.377890,4.916931
48.238923,-731.252723,6.386699,4.908962
49.075152,-731.816786,6.396689,4.900336
49.912013,-732.379913,6.407720,4.891198
50.749509,-732.942099,6.419476,4.881705
51.587642,-733.503340,6.431590,4.872022
52.426411,-734.063630,6.443740,4.862295
53.265819,-734.622967,6.455659,4.852614
54.105866,-735.181345,6.467183,4.843085
54.946554,-735.738762,6.478343,4.833904
55.787882,-736.295213,6.489259,4.825293
56.629853,-736.850694,6.499848,4.817416
57.472467,-737.405202,6.509716,4.810401
58.315724,-737.958733,6.518316,4.804394
59.159624,-738.511285,6.525209,4.799532
60.004168,-739.062853,6.530201,4.795859
60.849357,-739.613436,6.533339,4.793300
61.695191,-740.163029,6.534925,4.791725
62.541669,-740.711630,6.535521,4.791071
63.388791,-741.259237,6.535767,4.791359
64.236558,-741.805847,6.536107,4.792604
65.084970,-742.351458,6.536775,4.794729
65.934025,-742.896066,6.538000,4.797568
66.783724,-743.439671,6.540071,4.800953
67.634065,-743.982270,6.543218,4.804769
68.485050,-744.523862,6.547551,4.808892
69.336676,-745.064443,6.553095,4.813180
70.188943,-745.604014,6.559778,4.817517
71.041851,-746.142571,6.567429,4.821822
71.895399,-746.680114,6.575845,4.826050
72.749584,-747.216642,6.584796,4.830194
73.604408,-747.752153,6.594021,4.834284
74.459868,-748.286645,6.603306,4.838404
75.315963,-748.820119,6.612583,4.842674
76.172692,-749.352574,6.621850,4.847169
77.030054,-749.884007,6.631052,4.851900
77.888047,-750.414420,6.640100,4.856872
78.746670,-750.943812,6.648985,4.862128
79.605921,-751.472182,6.657761,4.867726
80.465799,-751.999530,6.666399,4.873673
81.326301,-752.525856,6.674726,4.879906
82.187426,-753.051160,6.682576,4.886352
83.049173,-753.575442,6.689933,4.892978
83.911538,-754.098704,6.696897,4.899728
84.774521,-754.620945,6.703626,4.906486
85.638118,-755.142166,6.710367,4.913150
86.502328,-755.662367,6.717469,4.919708
87.367149,-756.181550,6.725249,4.926239
88.232578,-756.699716,6.733875,4.932829
89.098613,-757.216865,6.743406,4.939436
89.965251,-757.733000,6.753844,4.945897
90.832490,-758.248120,6.765107,4.952092
91.700327,-758.762229,6.777045,4.958015
92.568760,-759.275328,6.789534,4.963735
93.437786,-759.787417,6.802490,4.969319
94.307402,-760.298500,6.815793,4.974728
95.177606,-760.808578,6.829293,4.979840
96.048395,-761.317653,6.842906,4.984634
96.919765,-761.825728,6.856715,4.989239
97.791713,-762.332805,6.870961,4.993805
98.664238,-762.838886,6.885979,4.998454
99.537335,-763.343975,6.902143,5.003252
100.411001,-763.848073,6.919778,5.008173
101.285234,-764.351183,6.939036,5.013182
102.160030,-764.853310,6.959867,5.018323
103.035386,-765.354454,6.982091,5.023660
103.911299,-765.854621,7.005307,5.029197
104.787765,-766.353813,7.028816,5.034894
105.664780,-766.852033,7.051836,5.040708
106.542342,-767.349286,7.073807,5.046630
107.420446,-767.845574,7.094389,5.052695
108.299090,-768.340901,7.113325,5.058888
109.178270,-768.835272,7.130523,5.065099
110.057982,-769.328691,7.146232,5.071242
110.938222,-769.821161,7.160943,5.077332
111.818987,-770.312686,7.175016,5.083421
112.700273,-770.803272,7.188508,5.089533
113.582075,-771.292923,7.201392,5.095605
114.464392,-771.781643,7.213656,5.101517
115.347217,-772.269436,7.225075,5.107208
116.230548,-772.756308,7.235183,5.112732
117.114381,-773.242264,7.243528,5.118146
117.998711,-773.727308,7.249697,5.123414
118.883536,-774.211445,7.253165,5.128431
119.768849,-774.694682,7.253409,5.133087
120.654648,-775.177022,7.250245,5.137401
121.540929,-775.658472,7.243846,5.141521
122.427687,-776.139036,7.234471,5.145520
123.314919,-776.618722,7.222361,5.149311
124.202619,-777.097533,7.207885,5.152806
125.090784,-777.575476,7.191545,5.156033
125.979410,-778.052558,7.173644,5.159130
126.868492,-778.528783,7.154119,5.162282
127.758026,-779.004158,7.132871,5.165600
128.648008,-779.478689,7.110045,5.169093
129.538433,-779.952383,7.085834,5.172835
130.429298,-780.425245,7.060283,5.177042
131.320597,-780.897283,7.033502,5.181934
132.212326,-781.368502,7.005877,5.187626
133.104481,-781.838909,6.977799,5.194154
133.997058,-782.308511,6.949399,5.201576
134.890053,-782.777315,6.920658,5.210055
135.783460,-783.245327,6.891534,5.219789
136.677275,-783.712554,6.861795,5.230883
137.571494,-784.179003,6.831015,5.243362
138.466112,-784.644682,6.798869,5.257255
139.361125,-785.109596,6.765334,5.272600
140.256529,-785.573755,6.730724,5.289397
141.152318,-786.037164,6.695633,5.307557
142.048489,-786.499831,6.660629,5.326909
142.945036,-786.961764,6.625973,5.347305
143.841955,-787.422969,6.591681,5.368700
144.739242,-787.883456,6.557631,5.391062
145.636892,-788.343230,6.523518,5.414287
146.534900,-788.802301,6.488956,5.438219
147.433262,-789.260675,6.453645,5.462699
148.331974,-789.718361,6.417466,5.487606
149.231030,-790.175365,6.380672,5.512912
150.130426,-790.631697,6.343898,5.538656
151.030157,-791.087363,6.307725,5.564851
151.930220,-791.542373,6.272461,5.591448
152.830609,-791.996733,6.238343,5.618358
153.731320,-792.450451,6.205465,5.645455
154.632348,-792.903536,6.173548,5.672593
155.533689,-793.355996,6.142077,5.699652
156.435338,-793.807837,6.110644,5.726591
157.337292,-794.259069,6.079100,5.753431
158.239545,-794.709700,6.047489,5.780198
159.142093,-795.159736,6.015938,5.806911
160.044932,-795.609187,5.984639,5.833586
160.948058,-796.058059,5.953867,5.860255
161.851466,-796.506361,5.923895,5.886975
162.755151,-796.954100,5.894838,5.913787
163.659111,-797.401285,5.866577,5.940701
164.563339,-797.847923,5.838987,5.967723
165.467834,-798.294021,5.812044,5.994903
166.372589,-798.739588,5.785528,6.022335
167.277601,-799.184631,5.759040,6.050100
168.182867,-799.629157,5.732334,6.078202
169.088382,-800.073174,5.705360,6.106590
169.994142,-800.516690,5.678113,6.135231
170.900143,-800.959711,5.650634,6.164118
171.806382,-801.402245,5.622991,6.193221
172.712854,-801.844300,5.595229,6.222478
173.619555,-802.285883,5.567382,6.251832
174.526483,-802.727001,5.539526,6.281272
175.433633,-803.167661,5.511759,6.310810
176.341001,-803.607870,5.484152,6.340399
177.248584,-804.047635,5.456715,6.369907
178.156378,-804.486964,5.429431,6.399184
179.064380,-804.925863,5.402302,6.428113
179.972585,-805.364339,5.375338,6.456636
180.880991,-805.802400,5.348525,6.484764
181.789595,-806.240051,5.321896,6.512507
182.698392,-806.677300,5.295536,6.539804
183.607379,-807.114153,5.269487,6.566563
184.516553,-807.550617,5.243727,6.592734
185.425910,-807.986699,5.218236,6.618280
186.335447,-808.422404,5.192996,6.643149
187.245162,-808.857740,5.168019,6.667294
188.155050,-809.292714,5.143378,6.690714
189.065109,-809.727330,5.119135,6.713464
189.975335,-810.161596,5.095288,6.735631
190.885725,-810.595519,5.071814,6.757275
191.796276,-811.029103,5.048682,6.778403
192.706985,-811.462356,5.025880,6.799049
193.617849,-811.895284,5.003440,6.819342
194.528864,-812.327893,4.981399,6.839462
195.440029,-812.760188,4.959742,6.859521
196.351339,-813.192177,4.938429,6.879513
197.262792,-813.623865,4.917450,6.899368
198.174385,-814.055259,4.896816,6.919090
199.086114,-814.486363,4.876525,6.938766
199.997978,-814.917186,4.856564,6.958432
200.909972,-815.347731,4.836918,6.978012
201.822094,-815.778006,4.817578,6.997402
202.734342,-816.208017,4.798541,7.016543
203.646711,-816.637768,4.779807,7.035418
204.559200,-817.067267,4.761370,7.054001
205.471806,-817.496520,4.743220,7.072210
206.384525,-817.925531,4.725350,7.089942
207.297355,-818.354307,4.707762,7.107145
208.210292,-818.782854,4.690452,7.123825
209.123335,-819.211178,4.673401,7.139974
210.036481,-819.639284,4.656597,7.155553
210.949726,-820.067179,4.640042,7.170593
211.863068,-820.494867,4.623730,7.185235
212.776504,-820.922355,4.607640,7.199626
213.690032,-821.349649,4.591747,7.213814
214.603649,-821.776753,4.576039,7.227807
215.517351,-822.203674,4.560508,7.241661
216.431137,-822.630416,4.545125,7.255470
217.345005,-823.056987,4.529854,7.269292
218.258950,-823.483390,4.514739,7.283088
219.172971,-823.909631,4.499921,7.296742
220.087066,-824.335716,4.485530,7.310168
221.001231,-824.761650,4.471640,7.323361
221.915465,-825.187438,4.458302,7.336363
222.829765,-825.613084,4.445502,7.349224
223.744129,-826.038594,4.433110,7.361958
224.658554,-826.463972,4.420929,7.374556
225.573039,-826.889223,4.408802,7.387044
226.487582,-827.314351,4.396638,7.399462
227.402179,-827.739361,4.384369,7.411796
228.316830,-828.164257,4.371943,7.423970
229.231533,-828.589042,4.359329,7.435907
230.146285,-829.013720,4.346552,7.447573
231.061086,-829.438295,4.333753,7.459003
231.975933,-829.862771,4.321130,7.470272
232.890825,-830.287149,4.308809,7.481468
233.805761,-830.711433,4.296851,7.492695
234.720740,-831.135626,4.285258,7.504043
235.635760,-831.559730,4.273948,7.515508
236.550820,-831.983746,4.262827,7.527020
237.465920,-832.407676,4.251886,7.538533
238.381059,-832.831523,4.241167,7.550049
239.296237,-833.255286,4.230662,7.561565
240.211453,-833.678967,4.220245,7.572984
241.126706,-834.102566,4.209752,7.584131
242.041997,-834.526083,4.199158,7.594921
242.957326,-834.949519,4.188598,7.605413
243.872693,-835.372871,4.178184,7.615724
244.788098,-835.796141,4.167909,7.625966
245.703541,-836.219326,4.157749,7.636220
246.619025,-836.642425,4.147712,7.646495
247.534548,-837.065436,4.137791,7.656702
248.450113,-837.488356,4.128001,7.666738
249.365720,-837.911183,4.118397,7.676600
250.281372,-838.333914,4.108961,7.686346
251.197069,-838.756544,4.099574,7.695973
252.112814,-839.179069,4.090122,7.705408
253.028609,-839.601485,4.080573,7.714558
253.944456,-840.023786,4.071020,7.723398
254.860359,-840.445966,4.061674,7.732025
255.776320,-840.868017,4.052674,7.740557
256.692343,-841.289933,4.043983,7.749033
257.608431,-841.711704,4.035526,7.757425
258.524590,-842.133321,4.027288,7.765677
259.440824,-842.554775,4.019216,7.773724
260.357137,-842.976052,4.011251,7.781507
261.273537,-843.397140,4.003384,7.788989
262.190029,-843.818025,3.995610,7.796168
263.106620,-844.238692,3.987985,7.803059
264.023318,-844.659124,3.980725,7.809656
264.940132,-845.079301,3.974090,7.815949
265.857069,-845.499205,3.968156,7.821939
266.774141,-845.918814,3.962813,7.827617
267.691358,-846.338104,3.957948,7.832949
268.608730,-846.757049,3.953500,7.837892
269.526271,-847.175623,3.949420,7.842396
270.443993,-847.593796,3.945668,7.846415
271.361910,-848.011537,3.942227,7.849909
272.280038,-848.428812,3.939155,7.852842
273.198392,-848.845584,3.936583,7.855186
274.116989,-849.261815,3.934620,7.856929
275.035848,-849.677465,3.933314,7.858058
275.954988,-850.092489,3.932710,7.858552
276.874429,-850.506839,3.932915,7.858413
277.794192,-850.920468,3.934011,7.857642
278.714302,-851.333320,3.935994,7.856131
279.634782,-851.745340,3.938927,7.853678
280.555658,-852.156468,3.942974,7.850129
281.476958,-852.566638,3.948233,7.845413
282.398710,-852.975783,3.954720,7.839466
283.320947,-853.383827,3.962434,7.832199
284.243700,-853.790695,3.971368,7.823497
285.167003,-854.196302,3.981502,7.813262
286.090893,-854.600563,3.992817,7.801507
287.015406,-855.003386,4.005363,7.788351
287.940582,-855.404674,4.019278,7.773858
288.866461,-855.804326,4.034773,7.757982
289.793085,-856.202237,4.052123,7.740621
290.720498,-856.598293,4.071603,7.721584
291.648745,-856.992379,4.093432,7.700527
292.577872,-857.384371,4.117756,7.677082
293.507928,-857.774140,4.144680,7.651076
294.438961,-858.161553,4.174340,7.622490
295.371025,-858.546468,4.206924,7.591206
296.304169,-858.928738,4.242590,7.556993
297.238448,-859.308211,4.281438,7.519676
298.173917,-859.684725,4.323543,7.479200
299.110630,-860.058116,4.369000,7.435569
300.048643,-860.428209,4.417978,7.388729
300.988014,-860.794825,4.470720,7.338496
301.928800,-861.157778,4.527492,7.284627
302.871056,-861.516875,4.588523,7.226907
303.814842,-861.871916,4.654034,7.165147
304.760212,-862.222694,4.724293,7.099142
305.707224,-862.568997,4.799645,7.028694
306.655933,-862.910604,4.880483,6.953635
307.606392,-863.247290,4.967173,6.873740
308.558655,-863.578821,5.059976,6.788671
309.512772,-863.904958,5.159045,6.698053
310.468792,-864.225453,5.264493,6.601586
311.426763,-864.540053,5.376460,6.498977
312.386729,-864.848494,5.495385,6.389686
313.348732,-865.150507,5.622325,6.272900
314.312811,-865.445815,5.758549,6.148065
315.278999,-865.734135,5.904803,6.015462
316.247328,-866.015174,6.060952,5.876265
317.217824,-866.288637,6.225773,5.732468
318.190506,-866.554219,6.397319,5.586774
319.165389,-866.811613,6.573556,5.442198
320.142481,-867.060507,6.752528,5.301677
321.121780,-867.300587,6.932732,5.167765
322.103280,-867.531536,7.113310,5.042410
323.086963,-867.753039,7.294071,4.926792
324.072803,-867.964782,7.475010,4.821210
325.060765,-868.166453,7.655250,4.725149
326.050804,-868.357742,7.833501,4.637538
327.042862,-868.538345,8.008227,4.557333
328.036874,-868.707966,8.176836,4.484079
329.032764,-868.866313,8.336423,4.417804
330.030442,-869.013105,8.484767,4.358574
331.029812,-869.148068,8.621315,4.306266
332.030763,-869.270941,8.747702,4.260526
333.033178,-869.381471,8.867008,4.220684
334.036927,-869.479418,8.982930,4.185747
335.041873,-869.564556,9.098620,4.154581
336.047866,-869.636669,9.215962,4.126193
337.054750,-869.695555,9.335042,4.100053
338.062361,-869.741027,9.454049,4.076407
339.070526,-869.772909,9.570235,4.056496
340.079065,-869.791044,9.680799,4.042386
341.087791,-869.795291,9.783382,4.036534
342.096511,-869.785522,9.876241,4.041077
343.105028,-869.761631,9.958856,4.057234
344.113140,-869.723526,10.033212,4.084950
345.120642,-869.671134,10.101372,4.122880
346.127326,-869.604396,10.162687,4.168709
347.132983,-869.523270,10.217108,4.219681
348.137402,-869.427726,10.266986,4.273245
349.140371,-869.317743,10.314224,4.327564
350.141679,-869.193313,10.359441,4.381660
351.141111,-869.054432,10.402780,4.435367
352.138456,-868.901103,10.444165,4.489144
353.133499,-868.733333,10.483299,4.543724
354.126027,-868.551132,10.520068,4.599740
355.115824,-868.354514,10.554817,4.657648
356.102675,-868.143496,10.588207,4.717858
357.086363,-867.918096,10.620982,4.780794
358.066672,-867.678340,10.652926,4.846841
359.043384,-867.424254,10.682633,4.916306
360.016284,-867.155873,10.708026,4.989513
360.985155,-866.873234,10.726545,5.066824
361.949780,-866.576384,10.736125,5.148774
362.909946,-866.265371,10.735823,5.235844
363.865440,-865.940255,10.726409,5.328261
364.816050,-865.601100,10.710579,5.426025
365.761567,-865.247974,10.691169,5.528885
366.701783,-864.880951,10.671069,5.636296
367.636491,-864.500110,10.653332,5.747532
368.565488,-864.105535,10.639480,5.861772
369.488570,-863.697309,10.628455,5.978136
370.405534,-863.275520,10.616742,6.095720
371.316179,-862.840256,10.599936,6.213829
372.220305,-862.391610,10.574395,6.332187
373.117711,-861.929677,10.538888,6.450887
374.008202,-861.454554,10.494550,6.570205
374.891580,-860.966344,10.442901,6.690347
375.767653,-860.465153,10.385243,6.811311
376.636230,-859.951091,10.322326,6.932924
377.497121,-859.424271,10.253602,7.054824
378.350141,-858.884811,10.178062,7.176450
379.195105,-858.332832,10.095389,7.297076
380.031833,-857.768459,10.006353,7.415800
380.860144,-857.191816,9.913050,7.531819
381.679860,-856.603033,9.818085,7.644700
382.490803,-856.002237,9.723097,7.754324
383.292795,-855.389557,9.628681,7.860666
384.085660,-854.765124,9.535082,7.963768
384.869218,-854.129065,9.442022,8.063769
385.643292,-853.481513,9.348408,8.160859
386.407705,-852.822599,9.252605,8.255264
387.162283,-852.152462,9.152814,8.347171
387.906854,-851.471242,9.047699,8.436645
388.641250,-850.779084,8.936214,8.523667
389.365308,-850.076140,8.817234,8.608210
390.078867,-849.362563,8.690240,8.690307
390.781774,-848.638516,8.555527,8.770059
391.473879,-847.904163,8.414100,8.847517
392.155040,-847.159674,8.267745,8.922560
392.825119,-846.405222,8.118500,8.995000
393.483982,-845.640985,7.968521,9.064830
394.131500,-844.867142,7.820138,9.132288
394.767549,-844.083873,7.675329,9.197616
395.392005,-843.291361,7.535187,9.260866
396.004752,-842.489790,7.399954,9.321890
396.605672,-841.679345,7.269370,9.380547
397.194652,-840.860211,7.142551,9.436898
397.771580,-840.032573,7.018281,9.491122
398.336348,-839.196620,6.895968,9.543272
398.888850,-838.352539,6.775836,9.593145
399.428983,-837.500518,6.658567,9.640317
399.956646,-836.640748,6.544963,9.684355
400.471744,-835.773421,6.435554,9.725087
400.974181,-834.898727,6.330351,9.762693
401.463869,-834.016862,6.229097,9.797486
401.940722,-833.128019,6.131620,9.829544
402.404656,-832.232395,6.037464,9.858628
402.855594,-831.330187,5.945797,9.884464
403.293461,-830.421592,5.855968,9.907092
403.718189,-829.506811,5.767689,9.926923
404.129711,-828.586042,5.681031,9.944453
404.527967,-827.659487,5.596482,9.959920
404.912900,-826.727347,5.514738,9.973303
405.284456,-825.789822,5.436509,9.984440
405.642586,-824.847115,5.362410,9.993235
405.987244,-823.899427,5.293079,9.999682
406.318387,-822.946960,5.228926,10.003834
406.635976,-821.989914,5.169667,10.005663
406.939976,-821.028492,5.114569,10.004925
407.230355,-820.062893,5.062797,10.001273
407.507082,-819.093319,5.013294,9.994604
407.770134,-818.119969,4.965010,9.985201
408.019490,-817.143045,4.917221,9.973423
408.255132,-816.162746,4.869674,9.959329
408.477046,-815.179270,4.822660,9.942819
408.685224,-814.192817,4.776759,9.923984
408.879659,-813.203584,4.732664,9.902940
409.060349,-812.211768,4.691049,9.879451
409.227294,-811.217564,4.652494,9.853072
409.380499,-810.221169,4.617322,9.823645
409.519968,-809.222775,4.585317,9.791433
409.645713,-808.222576,4.556047,9.756915
409.757744,-807.220763,4.529266,9.720610
409.856078,-806.217526,4.504734,9.682998
409.940731,-805.213056,4.482282,9.644491
410.011724,-804.207540,4.461904,9.605521
410.069080,-803.201164,4.443695,9.566356
410.112824,-802.194115,4.427779,9.526943
410.142986,-801.186577,4.414201,9.487131
410.159595,-800.178731,4.402835,9.446875
410.162685,-799.170761,4.393453,9.405953
410.152292,-798.162845,4.385879,9.363711
410.128452,-797.155162,4.380015,9.319512
410.091206,-796.147890,4.375824,9.273305
410.040596,-795.141203,4.373484,9.225451
409.976665,-794.135277,4.373372,9.176194
409.899459,-793.130283,4.375716,9.125536
409.809024,-792.126393,4.380587,9.073388
409.705409,-791.123778,4.388070,9.019686
409.588666,-790.122604,4.397931,8.964481
409.458847,-789.123039,4.409404,8.907962
409.316007,-788.125249,4.421671,8.850306
409.160201,-787.129396,4.434136,8.791529
408.991488,-786.135644,4.446472,8.731568
408.809928,-785.144154,4.458813,8.670434
408.615581,-784.155083,4.471838,8.608176
408.408513,-783.168591,4.486552,8.544807
408.188785,-782.184833,4.503689,8.480202
407.956466,-781.203963,4.523419,8.414131
407.711620,-780.226136,4.545639,8.346446
407.454317,-779.251503,4.570110,8.277307
407.184624,-778.280214,4.596762,8.207127
406.902612,-777.312420,4.625611,8.136302
406.608352,-776.348267,4.656141,8.065114
