# v_mps,ax_max_machines_mps2
9,10
12,15
18.67699454,21.08225433
18.86757611,21.06922558
19.05815769,21.05986854
19.24873927,21.05385901
19.43932084,21.05087276
19.62990242,21.05058559
19.820484,21.05267327
20.01106557,21.05681158
20.20164715,21.06267632
20.39222873,21.06994327
20.5828103,21.0782882
20.77339188,21.08738691
20.96397346,21.09691517
21.15455504,21.10654877
21.34513661,21.11596349
21.53571819,21.12483513
21.72629977,21.13283945
21.91688134,21.13965225
22.10746292,21.14494931
22.2980445,21.1484064
22.48862607,21.14969933
22.67920765,21.14850386
22.86978923,21.14449579
23.0603708,21.1373509
23.25095238,21.12674496
23.44153396,21.11235377
23.63211553,21.09385311
23.82269711,21.07091875
24.01327869,21.0432265
24.20386027,21.01045212
24.39444184,20.97227141
24.58502342,20.92836014
24.775605,20.8783941
24.96618657,20.82204907
25.15676815,20.75900085
25.34734973,20.6889252
25.5379313,20.61149792
25.72851288,20.52639479
25.91909446,20.43329159
26.10967603,20.3318641
26.30025761,20.22178811
26.49083919,20.10273941
26.68142077,19.97439378
26.87200234,19.83642699
27.06258392,19.68851484
27.2531655,19.53033311
27.44374707,19.36155758
27.63432865,19.18186403
27.82491023,18.99092825
25.19771459,15.41085645
25.45483412,15.39694653
25.71195366,15.38571379
25.9690732,15.37691791
26.22619273,15.37031859
26.48331227,15.3656755
26.74043181,15.36274833
26.99755134,15.36129676
27.25467088,15.36108049
27.51179042,15.36185919
27.76890995,15.36339255
28.02602949,15.36544026
28.28314903,15.36776199
28.54026856,15.37011744
28.7973881,15.3722663
29.05450764,15.37396823
29.31162717,15.37498294
29.56874671,15.37507011
29.82586625,15.37398942
30.08298578,15.37150055
30.34010532,15.36736319
30.59722486,15.36133703
30.85434439,15.35318175
31.11146393,15.34265704
31.36858346,15.32952258
31.625703,15.31353806
31.88282254,15.29446316
32.13994207,15.27205756
32.39706161,15.24608096
32.65418115,15.21629304
32.91130068,15.18245347
33.16842022,15.14432196
33.42553976,15.10165817
33.68265929,15.05422181
33.93977883,15.00177255
34.19689837,14.94407007
34.4540179,14.88087407
34.71113744,14.81194422
34.96825698,14.73704022
35.22537651,14.65592175
35.48249605,14.56834849
35.73961559,14.47408013
35.99673512,14.37287635
36.25385466,14.26449684
36.5109742,14.14870128
36.76809373,14.02524937
37.02521327,13.89390077
37.28233281,13.75441519
37.53945234,13.6065523
33.74979546,11.13064451
34.09418113,11.11269211
34.43856679,11.09666012
34.78295246,11.0823691
35.12733813,11.06963965
35.4717238,11.05829234
35.81610947,11.04814776
36.16049513,11.03902648
36.5048808,11.03074908
36.84926647,11.02313615
37.19365214,11.01600825
37.53803781,11.00918599
37.88242347,11.00248992
38.22680914,10.99574064
38.57119481,10.98875873
38.91558048,10.98136475
39.25996614,10.97337931
39.60435181,10.96462296
39.94873748,10.9549163
40.29312315,10.9440799
40.63750882,10.93193435
40.98189448,10.91830022
41.32628015,10.9029981
41.67066582,10.88584856
42.01505149,10.86667218
42.35943716,10.84528955
42.70382282,10.82152124
43.04820849,10.79518784
43.39259416,10.76610992
43.73697983,10.73410807
44.0813655,10.69900286
44.42575116,10.66061487
44.77013683,10.61876469
45.1145225,10.5732729
45.45890817,10.52396007
45.80329384,10.47064679
46.1476795,10.41315363
46.49206517,10.35130117
46.83645084,10.28491
47.18083651,10.2138007
47.52522218,10.13779384
47.86960784,10.05671001
48.21399351,9.970369777
48.55837918,9.878593734
48.90276485,9.781202457
49.24715051,9.678016525
49.59153618,9.568856519
49.93592185,9.453543018
50.28030752,9.331896604
41.4289697,8.625174954
41.85171429,8.601539506
42.27445887,8.579375562
42.69720346,8.558536959
43.11994805,8.538877533
43.54269264,8.520251122
43.96543723,8.502511563
44.38818182,8.485512691
44.81092641,8.469108345
45.233671,8.453152361
45.65641558,8.437498576
46.07916017,8.422000827
46.50190476,8.406512951
46.92464935,8.390888785
47.34739394,8.374982165
47.77013853,8.358646929
48.19288312,8.341736914
48.61562771,8.324105955
49.03837229,8.305607892
49.46111688,8.286096559
49.88386147,8.265425794
50.30660606,8.243449435
50.72935065,8.220021317
51.15209524,8.194995279
51.57483983,8.168225156
51.99758442,8.139564785
52.420329,8.108868005
52.84307359,8.07598865
53.26581818,8.04078056
53.68856277,8.003097569
54.11130736,7.962793516
54.53405195,7.919722237
54.95679654,7.873737568
55.37954113,7.824693348
55.80228571,7.772443413
56.2250303,7.716841599
56.64777489,7.657741744
57.07051948,7.594997684
57.49326407,7.528463257
57.91600866,7.4579923
58.33875325,7.383438648
58.76149784,7.30465614
59.18424242,7.221498612
59.60698701,7.133819901
60.0297316,7.041473843
60.45247619,6.944314277
60.87522078,6.842195038
61.29796537,6.734969964
61.72070996,6.622492892
50.06325591,6.529438963
50.57410546,6.497433521
51.08495501,6.466517785
51.59580456,6.4365708
52.10665411,6.407471612
52.61750366,6.379099266
53.12835321,6.351332807
53.63920276,6.324051281
54.15005231,6.297133732
54.66090186,6.270459207
55.17175141,6.24390675
55.68260096,6.217355407
56.19345051,6.190684223
56.70430006,6.163772243
57.21514961,6.136498513
57.72599916,6.108742078
58.23684871,6.080381983
58.74769826,6.051297273
59.25854781,6.021366995
59.76939736,5.990470192
60.28024691,5.958485911
60.79109646,5.925293196
61.30194601,5.890771094
61.81279556,5.854798648
62.32364511,5.817254906
62.83449466,5.778018911
63.34534421,5.736969709
63.85619376,5.693986346
64.36704331,5.648947866
64.87789286,5.601733316
65.38874241,5.55222174
65.89959196,5.500292183
66.41044151,5.445823692
66.92129107,5.38869531
67.43214062,5.328786085
67.94299017,5.26597506
68.45383972,5.200141281
68.96468927,5.131163794
69.47553882,5.058921643
69.98638837,4.983293874
70.49723792,4.904159533
71.00808747,4.821397664
71.51893702,4.734887313
72.02978657,4.644507525
72.54063612,4.550137346
73.05148567,4.451655821
73.56233522,4.348941994
74.07318477,4.241874912
74.58403432,4.13033362
61.34674359,4.366655389
61.97273077,4.32079987
62.59871795,4.275631108
63.22470513,4.231050395
63.85069231,4.186959025
64.47667949,4.143258289
65.10266667,4.09984948
65.72865385,4.056633891
66.35464103,4.013512814
66.98062821,3.97038754
67.60661538,3.927159364
68.23260256,3.883729577
68.85858974,3.839999472
69.48457692,3.795870341
70.1105641,3.751243476
70.73655128,3.706020171
71.36253846,3.660101717
71.98852564,3.613389408
72.61451282,3.565784534
73.2405,3.51718839
73.86648718,3.467502267
74.49247436,3.416627458
75.11846154,3.364465255
75.74444872,3.310916951
76.3704359,3.255883838
76.99642308,3.199267209
77.62241026,3.140968356
78.24839744,3.080888572
78.87438462,3.018929149
79.50037179,2.954991379
80.12635897,2.888976555
80.75234615,2.82078597
81.37833333,2.750320915
82.00432051,2.677482684
82.63030769,2.602172569
83.25629487,2.524291861
83.88228205,2.443741855
84.50826923,2.360423842
85.13425641,2.274239114
85.76024359,2.185088964
86.38623077,2.092874685
87.01221795,1.997497569
87.63820513,1.898858909
88.26419231,1.796859996
88.89017949,1.691402124
89.51616667,1.582386584
90.14215385,1.46971467
90.76814103,1.353287674
91.39412821,1.233006887
200,1